id,state,gender,median_home_val,hvp1,pobc1,pobc2,avggift,target_d,median_household_income,ic2,ic3,ic4,ic5
44060,FL,M,,7,6,16,28.0,100.0,,430.0,466,520.0,466
96093,IL,M,537.0,0,1,89,5.666666667,7.0,537.0,415.0,410,473.0,410
43333,FL,F,725.0,3,11,17,4.111111111,5.0,725.0,340.0,361,436.0,361
21885,NC,M,,7,1,74,27.27777778,38.0,,407.0,399,413.0,399
190108,FL,F,995.0,0,5,6,6.0,5.0,995.0,280.0,316,348.0,316
100640,IL,M,764.0,1,2,75,25.57142857,30.0,764.0,477.0,480,501.0,480
18581,NC,female,775.0,5,0,73,4.625,12.0,775.0,364.0,380,419.0,380
119038,TX,M,890.0,0,2,46,6.175,7.0,890.0,525.0,551,560.0,551
173223,CA,F,,0,2,63,8.818181818,10.0,,206.0,235,250.0,235
157988,CA,F,,61,7,62,6.666666667,10.0,,,619,617.0,619
141720,NV,F,1569.0,22,3,44,13.0,5.0,1569.0,672.0,785,781.0,785
186272,CA,F,3515.0,97,11,54,8.64,10.0,3515.0,565.0,549,588.0,549
154301,Cali,F,1026.0,1,12,52,11.25,10.0,1026.0,470.0,491,496.0,491
189722,AP,Male,0.0,0,0,0,5.727272727,6.0,0.0,0.0,0,0.0,0
188304,KS,F,376.0,0,1,75,10.55,10.0,376.0,303.0,287,316.0,287
73699,MI,,890.0,1,5,53,11.28571429,15.0,890.0,474.0,512,523.0,512
31977,FL,F,1513.0,31,3,24,18.5,28.0,1513.0,599.0,615,702.0,615
44336,FL,F,948.0,4,6,8,15.0,15.0,948.0,365.0,368,411.0,368
127823,TX,F,258.0,0,0,94,5.45,6.0,258.0,60.0,93,74.0,93
150739,CA,U,1951.0,44,10,66,9.681818182,12.0,1951.0,578.0,619,625.0,619
41384,FL,F,556.0,0,16,22,9.428571429,12.0,556.0,358.0,320,,320
114721,OK,,1040.0,0,2,56,11.66666667,15.0,1040.0,609.0,579,656.0,579
111795,AR,,603.0,2,1,70,5.0,5.0,603.0,264.0,288,341.0,288
64480,IN,F,526.0,1,1,80,7.142857143,10.0,526.0,336.0,317,370.0,317
87259,MT,M,717.0,1,1,53,9.7,25.0,717.0,458.0,349,432.0,349
115823,TX,M,1011.0,1,5,61,6.5,15.0,1011.0,588.0,650,650.0,650
95701,IL,M,1063.0,3,16,53,8.372790698,5.0,1063.0,260.0,312,317.0,312
5172,IL,M,291.0,0,5,67,10.61111111,10.0,291.0,168.0,180,212.0,180
152486,CA,M,1538.0,11,5,49,5.5,5.0,1538.0,317.0,342,393.0,342
153880,WI,F,592.0,1,3,74,12.5,5.0,592.0,341.0,306,392.0,306
101855,MO,M,871.0,6,0,71,7.857142857,10.0,871.0,385.0,365,416.0,365
62932,IN,M,403.0,1,0,45,8.0,10.0,403.0,240.0,201,264.0,201
125930,TX,F,715.0,1,3,88,6.0,7.5,715.0,378.0,371,396.0,371
173653,HI,F,2346.0,67,5,78,15.5,21.0,2346.0,446.0,468,503.0,468
11011,FL,M,559.0,0,11,20,12.61111111,20.0,559.0,270.0,257,269.0,257
116894,TX,M,,5,2,42,12.25,20.0,,457.0,450,531.0,450
154245,CA,F,596.0,0,23,57,16.5,15.0,596.0,168.0,181,190.0,181
134773,UT,M,706.0,1,1,82,15.0,25.0,706.0,376.0,379,394.0,379
26271,GA,F,878.0,30,4,55,10.13333333,16.0,878.0,517.0,433,588.0,433
180292,WA,F,1275.0,21,6,51,6.6,10.0,1275.0,453.0,500,545.0,500
10145,CA,F,2362.0,74,9,61,8.928571429,5.0,2362.0,632.0,655,678.0,655
133806,ID,U,718.0,0,0,39,20.0,15.0,718.0,280.0,278,357.0,278
112632,CT,M,2531.0,77,6,51,8.272727273,11.0,2531.0,730.0,696,750.0,696
143253,CA,F,2089.0,56,53,36,7.125,5.0,2089.0,296.0,322,356.0,322
403,AL,J,765.0,1,1,68,33.5,35.0,765.0,430.0,441,472.0,441
189882,ND,F,832.0,0,1,85,10.0,10.0,832.0,338.0,348,376.0,348
119570,TX,M,1458.0,8,4,56,6.181818182,10.0,1458.0,354.0,356,446.0,356
144021,CA,F,1590.0,25,57,34,13.5,15.0,1590.0,238.0,262,257.0,262
93356,IL,F,613.0,0,1,60,11.83333333,25.0,613.0,245.0,294,355.0,294
24711,SC,F,477.0,0,1,80,5.875,10.0,477.0,282.0,292,316.0,292
74914,IA,F,424.0,0,1,78,4.863636364,6.0,424.0,256.0,230,256.0,230
6909,CO,M,383.0,0,0,78,13.82352941,15.0,383.0,256.0,359,380.0,359
124543,TX,M,688.0,0,0,84,11.06666667,18.0,688.0,466.0,457,490.0,457
163018,CA,M,3500.0,57,36,28,15.66666667,24.0,3500.0,260.0,463,407.0,463
190671,CA,,2143.0,63,29,36,9.260869565,14.0,2143.0,353.0,328,373.0,328
33356,FL,F,625.0,3,1,47,14.09090909,20.0,625.0,466.0,362,536.0,362
151600,Cali,M,1560.0,5,22,38,15.0,21.0,1560.0,488.0,487,485.0,487
21259,NC,female,716.0,1,2,66,12.47826087,15.0,716.0,339.0,227,382.0,227
128987,TX,F,1247.0,17,16,50,26.33333333,41.0,1247.0,313.0,350,444.0,350
108926,LA,M,611.0,1,4,52,15.0,20.0,611.0,323.0,302,337.0,302
154709,Cali,F,1431.0,24,18,48,13.0,5.0,1431.0,390.0,315,376.0,315
108050,LA,F,1089.0,1,2,64,5.2,16.0,1089.0,520.0,480,538.0,480
